YEAR,COUNTY,HOSPITAL,OSHPDID,Procedure/Condition,Risk Adjuested Mortality Rate,# of Deaths,# of Cases,Hospital Ratings,LONGITUDE,LATITUDE
2016,AAAA,STATEWIDE,None,AAA Repair Unruptured,1.3,30,2358,None,None,None
2016,AAAA,STATEWIDE,None,AMI,6.1,3178,52167,None,None,None
2016,AAAA,STATEWIDE,None,Acute Stroke,9.1,5482,60184,None,None,None
2016,AAAA,STATEWIDE,None,Acute Stroke Hemorrhagic,21.1,2580,12210,None,None,None
2016,AAAA,STATEWIDE,None,Acute Stroke Ischemic,5,2258,45141,None,None,None
2016,AAAA,STATEWIDE,None,Acute Stroke Subarachnoid,22.7,644,2833,None,None,None
2016,AAAA,STATEWIDE,None,Carotid Endarterectomy,0.5,25,4894,None,None,None
2016,AAAA,STATEWIDE,None,Espophageal Resection,3.9,11,281,None,None,None
2016,AAAA,STATEWIDE,None,GI Hemorrhage,2.6,1412,54011,None,None,None
2016,AAAA,STATEWIDE,None,Heart Failure,2.9,2763,95205,None,None,None
2016,AAAA,STATEWIDE,None,Hip Fracture,1.9,497,26404,None,None,None
2016,AAAA,STATEWIDE,None,PCI,3.6,1315,36912,None,None,None
2016,AAAA,STATEWIDE,None,Pancreatic Cancer,2,20,1021,None,None,None
2016,AAAA,STATEWIDE,None,Pancreatic Other,2.6,24,937,None,None,None
2016,AAAA,STATEWIDE,None,Pancreatic Resection,2.2,44,1958,None,None,None
2016,AAAA,STATEWIDE,None,Pneumonia,3.2,1759,55142,None,None,None
2016,Alameda,Alameda Hospital,106010735,AAA Repair Unruptured,.,.,.,,-122.253991,37.76266
2016,Alameda,Alameda Hospital,106010735,AMI,16.1,3,17,As Expected,-122.253991,37.76266
2016,Alameda,Alameda Hospital,106010735,Acute Stroke,23.6,9,74,Worse,-122.253991,37.76266
2016,Alameda,Alameda Hospital,106010735,Acute Stroke Hemorrhagic,48.9,5,9,Worse,-122.253991,37.76266
2016,Alameda,Alameda Hospital,106010735,Acute Stroke Ischemic,15.2,4,65,As Expected,-122.253991,37.76266
2016,Alameda,Alameda Hospital,106010735,Acute Stroke Subarachnoid,.,.,.,,-122.253991,37.76266
2016,Alameda,Alameda Hospital,106010735,Carotid Endarterectomy,.,.,.,,-122.253991,37.76266
2016,Alameda,Alameda Hospital,106010735,Espophageal Resection,.,.,.,,-122.253991,37.76266
2016,Alameda,Alameda Hospital,106010735,GI Hemorrhage,4.6,5,83,As Expected,-122.253991,37.76266
2016,Alameda,Alameda Hospital,106010735,Heart Failure,2.1,2,111,As Expected,-122.253991,37.76266
2016,Alameda,Alameda Hospital,106010735,Hip Fracture,0,0,31,As Expected,-122.253991,37.76266
