1   ,AL,Autauga                                         ,"54,571"   ,32.536382°,–86.644490° 
2   ,AL,Baldwin                                         ,"182,265"  ,30.659218°,–87.746067° 
3   ,AL,Barbour                                         ,"27,457"   ,31.870670°,–85.405456° 
4   ,AL,Bibb                                            ,"22,915"   ,33.015893°,–87.127148° 
5   ,AL,Blount                                          ,"57,322"   ,33.977448°,–86.567246° 
6   ,AL,Bullock                                         ,"10,914"   ,32.101759°,–85.717261° 
7   ,AL,Butler                                          ,"20,947"   ,31.751667°,–86.681969° 
8   ,AL,Calhoun                                         ,"118,572"  ,33.771706°,–85.822513° 
9   ,AL,Chambers                                        ,"34,215"   ,32.917943°,–85.391812° 
10  ,AL,Cherokee                                        ,"25,989"   ,34.069515°,–85.654242° 
11  ,AL,Chilton                                         ,"43,643"   ,32.854060°,–86.726628° 
12  ,AL,Choctaw                                         ,"13,859"   ,31.991008°,–88.248887° 
13  ,AL,Clarke                                          ,"25,833"   ,31.685521°,–87.818624° 
14  ,AL,Clay                                            ,"13,932"   ,33.267809°,–85.862051° 
15  ,AL,Cleburne                                        ,"14,972"   ,33.671981°,–85.516109° 
16  ,AL,Coffee                                          ,"49,948"   ,31.402183°,–85.989201° 
17  ,AL,Colbert                                         ,"54,428"   ,34.703112°,–87.801457° 
18  ,AL,Conecuh                                         ,"13,228"   ,31.428293°,–86.992029° 
19  ,AL,Coosa                                           ,"11,539"   ,32.931445°,–86.243482° 
20  ,AL,Covington                                       ,"37,765"   ,31.243987°,–86.448721° 
21  ,AL,Crenshaw                                        ,"13,906"   ,31.732826°,–86.319222° 
22  ,AL,Cullman                                         ,"80,406"   ,34.131923°,–86.869267° 
23  ,AL,Dale                                            ,"50,251"   ,31.430654°,–85.609476° 
24  ,AL,Dallas                                          ,"43,820"   ,32.333540°,–87.114356° 
25  ,AL,DeKalb                                          ,"71,109"   ,34.460929°,–85.803992° 
26  ,AL,Elmore                                          ,"79,303"   ,32.597229°,–86.142739° 
27  ,AL,Escambia                                        ,"38,319"   ,31.121748°,–87.168429° 
28  ,AL,Etowah                                          ,"104,430"  ,34.047638°,–86.034420° 
29  ,AL,Fayette                                         ,"17,241"   ,33.732249°,–87.752049° 
30  ,AL,Franklin                                        ,"31,704"   ,34.441988°,–87.842815° 
31  ,AL,Geneva                                          ,"26,790"   ,31.090866°,–85.824346° 
32  ,AL,Greene                                          ,"9,045"    ,32.844497°,–87.964201° 
33  ,AL,Hale                                            ,"15,760"   ,32.752796°,–87.623061° 
34  ,AL,Henry                                           ,"17,302"   ,31.516978°,–85.239971° 
35  ,AL,Houston                                         ,"101,547"  ,31.158193°,–85.296398° 
